	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core7	1432	1667	1643	1641	1227	1629	888	733	414	1755	1420	1260	
core8	1281	946	1167	1267	1273	1654	413	457	922	898	1245	1003	
core9	361	977	803	1306	1636	1373	1087	1654	1085	1709	1634	1035	
core10	625	1308	748	1165	411	1331	988	647	673	1333	977	1154	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1183	382	988	1534	765	1546	1690	1305	1320	1413	1785	780	
core2	774	701	453	1192	464	1052	450	1432	457	1278	1502	1258	
core3	1423	901	333	1738	951	507	322	1522	339	797	646	926	
core4	389	1701	1465	1601	1101	1656	800	775	478	946	777	545	
core5	1553	529	731	1285	694	1137	1198	370	1709	712	383	820	
core6	646	680	417	501	665	420	1061	1458	599	694	1004	1231	
core7	1507	863	1606	951	540	1757	674	1263	1732	320	1219	1181	
core8	1151	1382	1450	1076	652	1344	547	485	992	1773	531	1215	
core9	1148	878	410	1612	1383	1718	1322	1127	604	1578	1773	1494	
core10	1065	1775	913	303	1489	407	1485	471	1004	1596	1259	993	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1585	1133	561	1032	1668	770	820	1382	1707	314	1559	1161	
core2	763	916	481	919	1666	1547	895	419	1299	704	1392	767	
core3	657	1087	481	1544	1390	491	370	1412	1013	655	358	1383	
core4	969	850	1321	1230	1027	1655	1157	888	327	1374	966	1742	
core5	619	657	1250	1774	1074	1122	1644	1470	1467	423	1356	1394	
core6	956	681	878	677	629	1594	1057	1493	356	810	1424	1175	
core7	585	347	1697	750	1205	1731	396	964	1537	1723	1794	868	
core8	1616	850	688	359	639	1653	1279	968	362	1544	397	1047	
core9	634	1010	375	1212	786	1359	411	1143	770	951	1463	1166	
core10	1623	621	606	1760	882	1728	1347	978	839	1425	884	1366	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1389	785	523	546	820	848	1266	773	895	1468	929	523	
core2	1667	345	1427	1115	1410	1294	877	829	1334	996	592	1587	
core3	602	609	632	1274	400	475	1179	803	887	1579	418	753	
core4	544	812	1227	1153	1265	1327	1104	691	776	462	1155	1337	
core5	1438	893	1032	918	640	1096	697	1760	1250	1424	427	400	
core6	1415	1738	1224	1568	588	395	1644	898	375	850	1686	366	
core7	1530	1534	1754	371	1720	1469	341	1013	630	408	1003	1106	
core8	1155	1092	1683	1157	817	983	494	966	450	750	1170	769	
core9	1337	1792	1581	870	414	826	1525	933	650	747	1076	321	
core10	752	1100	946	544	370	1037	357	969	1602	858	814	1032	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1471	585	1541	986	1263	635	501	1618	1776	753	1647	1293	
core2	1487	729	1447	1243	767	492	1043	1485	1339	1556	960	1568	
core3	1703	454	757	1579	373	1369	1645	1637	1275	1484	1231	1337	
core4	628	1413	1257	1431	867	368	433	1032	1110	495	1140	1278	
core5	1676	383	576	1587	1692	643	557	812	666	1240	749	1119	
core6	1071	693	1534	519	1117	1690	1267	637	867	456	1313	668	
core7	1614	840	1128	1057	714	1354	662	761	1051	1622	1468	558	
core8	1207	542	1025	1422	1771	1696	1386	1714	504	511	580	1225	
core9	1056	1280	1763	1754	1576	514	536	1717	1739	308	481	1609	
core10	549	1488	320	1089	757	787	1167	1673	1291	618	370	1279	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1296	1731	325	362	1245	1039	848	675	1503	1542	861	1013	
core2	1264	312	1317	1556	1352	541	979	300	1370	1281	1436	1503	
core3	1712	697	1004	948	400	1604	1320	1231	763	1206	878	395	
core4	999	402	819	657	1682	776	1361	1228	1692	1063	799	1489	
core5	371	332	1044	910	1723	1225	1501	1480	386	747	1103	955	
core6	981	1448	798	1145	494	986	300	1391	971	1632	1541	1108	
core7	1219	1358	732	1777	1039	1012	557	762	535	1678	1385	421	
core8	1569	1260	536	955	632	1274	1585	1210	1633	1452	1400	1651	
core9	1226	559	1304	922	362	1594	526	1399	1042	535	1360	1591	
core10	1104	1212	1190	1604	1595	530	1796	973	576	925	576	937	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1584	524	972	1311	909	866	915	1074	1332	1050	845	1367	
core2	1217	485	1622	556	1173	1201	550	1021	1706	1207	702	411	
core3	1430	415	579	1307	561	1011	1385	1253	1675	1248	456	1054	
core4	924	1713	861	777	942	1522	1394	743	1178	1710	1090	1765	
core5	336	607	1512	354	1355	1153	1044	779	1116	1665	594	1299	
core6	1195	367	654	306	1212	1485	1070	1004	1413	465	1301	405	
core7	1294	448	1787	1532	1715	1507	848	1163	404	1355	1655	832	
core8	1424	356	1124	1431	477	657	594	1449	1288	1122	321	1306	
core9	555	1322	672	1504	1501	676	791	1033	1635	454	966	952	
core10	493	880	1587	1638	1512	995	1745	524	707	458	1025	1258	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1525	1679	717	1381	1020	1630	820	1017	389	1699	645	1438	
core2	593	1176	1270	1148	715	1017	929	1688	1382	1692	486	1581	
core3	1519	372	1050	484	1065	1074	1177	1700	875	1618	653	1269	
core4	1407	1095	1183	1264	307	1218	1698	624	851	1062	685	1682	
core5	982	479	1004	717	534	546	419	632	1537	1797	632	694	
core6	751	723	1660	1114	1396	1043	963	804	479	1394	1655	1776	
core7	1475	935	748	1495	305	983	1759	378	1424	310	1242	1606	
core8	595	889	301	1553	1341	1083	653	685	1030	1695	496	665	
core9	1266	1596	1441	1563	1471	1729	1214	630	1567	1043	629	1657	
core10	770	300	431	1485	519	1604	1205	1429	1423	1036	876	1662	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1090	1549	1359	1320	706	1448	405	1663	801	1755	1400	1666	
core2	354	993	951	1306	912	1654	662	1450	908	1528	317	574	
core3	1246	397	1565	370	410	1514	621	1454	1112	1716	1037	1476	
core4	978	1651	1772	1103	1188	1601	577	973	835	512	1579	362	
core5	862	488	1122	452	1109	1427	1410	1297	851	794	1602	646	
core6	429	1568	1660	1517	1177	423	660	1480	518	1305	1076	688	
core7	956	739	612	447	1427	1124	1534	1273	579	1172	751	1575	
core8	835	1054	912	1570	528	845	1536	711	1213	879	953	365	
core9	670	1454	417	689	1324	379	1123	1354	1457	1676	873	615	
core10	1271	1217	1069	1095	411	1633	1536	1601	1201	354	1602	475	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	833	1193	1197	1246	1526	522	531	1657	784	1735	709	678	
core2	1445	652	1103	1523	1531	741	760	944	1120	1185	941	763	
core3	410	343	1786	557	804	1028	1294	912	1699	875	840	1519	
core4	651	1765	776	662	1048	486	1129	1168	568	324	748	775	
core5	591	1570	933	1075	1097	881	925	950	1061	1363	684	1708	
core6	1033	1676	1223	1309	708	1066	323	821	1278	863	841	1691	
core7	926	937	1455	1272	1187	1720	745	1367	875	1086	1662	879	
core8	1102	755	769	820	1749	508	887	496	1379	1334	865	332	
core9	837	575	929	457	512	733	765	1035	1258	1502	372	717	
core10	1339	1044	1573	1305	1764	1332	1605	724	471	720	1344	862	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	662	704	567	556	912	699	1647	1062	799	1376	620	1053	
core2	699	340	832	1250	1705	1218	1715	476	417	743	1286	478	
core3	1007	1257	1152	988	1783	1687	1315	893	1742	1337	559	1509	
core4	802	373	1331	1552	590	1069	1646	903	825	1461	1556	847	
core5	376	1119	586	1480	588	1494	1236	1136	1293	778	1337	581	
core6	1377	1143	742	1718	1162	974	1027	364	1686	387	417	794	
core7	1737	1120	505	1465	1558	660	919	351	794	1691	1462	1064	
core8	1196	1040	822	1568	1302	354	695	1687	1247	1024	449	1277	
core9	1431	417	615	913	1337	370	383	1126	443	810	984	1019	
core10	1430	1740	762	762	1152	578	844	1496	608	1077	604	1157	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	635	1361	926	1351	1564	1236	1511	1735	1392	1774	370	1023	
core2	1437	1666	1613	1380	1698	1650	1791	1112	1022	1546	1049	1367	
core3	1413	722	1719	581	1126	324	1646	400	943	939	1679	1291	
core4	1300	1397	1746	392	397	1030	1561	1031	1620	490	1403	904	
core5	1619	1475	1630	1417	471	1464	506	1690	313	1629	619	954	
core6	1021	1476	394	669	1464	385	1141	344	1112	617	1393	704	
core7	1566	1668	1568	808	1746	663	1567	916	1256	676	1336	725	
core8	923	1133	1717	378	1644	1098	983	1428	1520	1175	1353	1752	
core9	1098	1074	727	378	1405	757	1657	653	802	948	1711	1181	
core10	481	1534	312	1471	1261	1375	1763	763	1513	1129	420	1149	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1328	1681	1012	1556	1670	731	350	1011	396	509	1183	424	
core2	496	1082	850	365	1501	506	710	1000	616	546	1696	733	
core3	1643	842	1383	691	690	1000	477	669	1668	813	1452	434	
core4	448	1306	1004	1078	1769	1171	545	1773	396	852	1522	944	
core5	1277	774	639	664	890	832	1783	1413	535	1074	1367	442	
core6	425	912	462	1453	1780	1218	1173	1685	852	921	1365	1726	
core7	444	1755	1663	313	1343	669	1568	805	347	408	1181	1039	
core8	850	1192	933	632	1211	435	1778	1779	339	496	612	554	
core9	712	1095	1774	961	607	1171	1529	1616	703	798	1121	1146	
core10	844	1231	568	490	1451	1783	1339	1097	692	1493	1034	927	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	755	1348	789	1057	1760	1302	674	1427	1565	406	1276	610	
core2	1695	1614	943	1216	817	425	1578	1276	1497	461	762	920	
core3	1350	876	1244	1066	766	813	1614	1185	596	878	1112	660	
core4	873	1365	1095	1182	1284	804	1637	908	1745	1691	677	1237	
core5	1272	981	489	962	1645	1667	1425	1423	1076	357	1333	355	
core6	425	548	1097	1495	524	1728	1101	1113	1322	1522	916	307	
core7	642	986	656	1164	1461	638	1403	796	361	575	622	968	
core8	564	459	763	1771	674	495	1267	1204	973	534	1523	1368	
core9	1083	1001	866	427	1687	969	1182	1617	1041	1242	1438	1317	
core10	1315	782	479	654	425	778	350	944	1457	703	1185	484	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	865	660	471	955	393	913	925	487	922	876	1683	1041	
core2	995	1731	755	494	1575	432	864	307	429	864	1636	1404	
core3	349	1131	1720	439	944	1239	1272	648	699	384	1204	1034	
core4	1495	1289	1332	1768	663	774	1530	1392	1790	623	714	1586	
core5	694	477	1068	548	328	1355	865	456	1201	1584	1593	529	
core6	1105	1384	1092	1275	1619	1401	1147	1339	382	968	1233	911	
core7	903	596	1166	1756	1275	1192	995	1528	1165	1547	1470	538	
core8	1653	1647	306	1698	1044	732	1668	852	1108	1331	774	1599	
core9	332	1337	1249	1546	968	614	1690	1390	1163	840	741	346	
core10	782	445	1749	1124	1427	500	1175	1720	1608	1143	938	697	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	858	1326	327	1747	326	1532	1432	408	357	692	1655	587	
core2	1420	1742	1393	1085	880	1602	1185	1536	741	1050	982	1245	
core3	476	450	1245	1795	1045	1455	1310	1662	617	1415	1250	1146	
core4	786	1723	926	1074	1340	546	1300	603	465	1179	727	1689	
core5	1634	1213	1527	444	1629	821	1159	365	1182	1420	931	641	
core6	1475	507	591	1025	1105	1788	618	1071	1624	918	558	908	
core7	1257	1697	765	946	1053	735	1202	1111	1259	1606	812	1631	
core8	425	375	1598	863	1649	521	335	493	827	430	489	1203	
core9	322	1606	353	663	306	1422	358	1478	993	1043	493	341	
core10	960	485	1290	616	1595	1115	1616	401	736	1248	1155	595	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1598	1251	947	992	680	836	855	823	1269	720	446	732	
core2	1247	311	993	519	1099	1236	343	1173	338	1577	1653	1155	
core3	1317	646	1183	1452	349	639	990	635	1771	510	1711	672	
core4	826	650	1330	624	500	923	398	1033	509	1009	1032	1144	
core5	1766	1691	1708	1578	743	683	1152	741	917	1625	1209	308	
core6	1174	1551	1291	1138	687	1714	1653	1242	931	312	1430	918	
core7	1452	492	911	1549	1411	1694	1120	644	1130	877	518	386	
core8	460	1210	525	1228	1541	981	1126	935	1035	1006	1641	430	
core9	747	1699	1779	1306	1139	1396	854	858	1135	328	1062	1372	
core10	1726	452	1495	897	1766	1650	866	1241	1473	474	983	1660	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1205	1117	536	618	355	446	968	450	859	924	952	432	
core2	1269	1650	797	855	843	1462	703	416	1746	511	340	584	
core3	1003	1274	1520	784	531	1126	1485	581	1227	1200	1797	952	
core4	836	1523	1275	747	943	1667	903	1330	862	524	377	1115	
core5	780	388	1315	1031	1458	1648	1145	554	780	577	854	624	
core6	762	1724	702	1227	675	1243	743	308	1371	743	366	1002	
core7	1246	535	889	1774	1726	1185	640	1619	1685	1000	885	967	
core8	1401	1448	1673	506	624	1381	852	811	734	720	860	1349	
core9	1031	1537	323	605	356	742	944	1396	1483	1073	1082	578	
core10	1361	1468	1037	1017	438	1187	1537	1666	805	1444	1458	1139	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1011	600	1712	1626	697	1346	1158	1004	484	899	1475	1083	
core2	913	1075	561	1082	1321	818	1474	911	1203	1432	945	496	
core3	476	550	1692	498	1571	1079	828	1156	902	585	361	520	
core4	1653	861	442	987	1481	409	539	1704	656	1657	494	650	
core5	459	385	1213	672	1535	358	1372	1569	879	529	633	912	
core6	554	423	364	1398	668	1292	699	935	546	721	1534	1391	
core7	625	1541	1092	989	1151	704	1474	1317	1177	1490	1438	575	
core8	1173	433	617	725	510	383	1330	948	1709	551	1456	609	
core9	558	945	636	1343	1655	1665	1411	1619	349	1463	1014	1522	
core10	689	532	1610	773	1303	1210	878	1510	1281	1362	626	562	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1292	1199	1306	1000	468	1592	1072	533	912	864	1122	940	
core2	1237	634	342	317	1567	1473	1375	610	855	1217	874	485	
core3	1322	1483	476	1210	1191	484	694	525	1164	832	339	1732	
core4	980	1076	742	300	1295	1333	1670	860	1012	550	1229	1002	
core5	1210	1471	1369	949	1324	1730	1136	1170	1458	964	1625	1682	
core6	455	447	542	1158	1616	354	1363	1651	321	1391	1392	492	
core7	556	1540	1427	1336	846	1520	618	491	1266	1129	1622	388	
core8	1308	924	720	364	343	1135	1296	1371	904	430	811	1376	
core9	1496	777	1760	1574	966	1220	1385	950	1770	1640	1354	523	
core10	644	615	1490	1119	828	1632	858	1355	1708	1426	787	1663	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1038	752	1076	1024	1758	1484	768	614	380	850	1438	850	
core2	372	1324	627	1791	882	866	1433	1131	344	975	1715	1736	
core3	1337	302	747	926	888	1054	614	1556	303	333	553	1789	
core4	496	1294	862	314	465	1727	1668	458	856	378	1569	797	
core5	646	369	1121	616	826	1529	1616	893	427	334	648	469	
core6	636	758	969	641	1041	1033	486	1716	1571	1557	961	1065	
core7	549	1619	404	351	351	1758	436	1145	944	1173	1762	803	
core8	1375	1271	429	1608	577	716	968	1475	752	441	413	438	
core9	1253	800	354	1427	1515	1475	344	1334	1154	614	1704	1731	
core10	1093	1289	1159	1143	425	1622	333	1450	1525	1159	777	1729	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1309	1434	662	1278	1529	882	715	1748	1478	1024	913	1101	
core2	1020	1390	1009	1692	1760	877	413	1657	677	1624	959	1596	
core3	1169	1037	1294	1060	820	397	592	437	1013	433	1572	1513	
core4	1638	370	1335	937	1177	600	863	1124	1790	1409	1588	698	
core5	1414	1594	331	1305	1780	618	348	933	516	817	1092	1393	
core6	516	407	1149	923	308	1130	1265	1633	745	1112	905	726	
core7	1171	508	955	635	1641	653	929	382	1115	800	889	1373	
core8	404	491	1280	1727	1123	594	824	633	1069	1206	497	1416	
core9	923	1319	644	373	1581	1700	1055	947	466	848	927	710	
core10	795	1358	1629	724	1345	550	1502	1020	1407	1193	1472	775	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1114	792	558	1374	1165	1096	889	741	1402	1736	1495	603	
core2	1338	1483	356	847	923	548	342	551	362	1735	492	381	
core3	1413	1105	702	484	803	463	455	946	1549	1006	805	646	
core4	1499	1237	1468	523	444	1560	376	636	656	566	722	1794	
core5	736	542	906	1179	1555	869	1459	1698	1096	1228	1207	1233	
core6	1201	925	311	1395	1261	1143	407	712	1017	1223	689	1632	
core7	453	484	1332	1087	815	559	523	627	1789	1747	725	1702	
core8	1787	505	606	713	1432	717	933	1055	1358	1269	313	1110	
core9	1467	736	1188	1146	671	1162	1671	663	1500	1737	456	1644	
core10	1651	640	1487	1242	489	510	1048	802	1709	597	715	461	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	697	774	1434	792	1079	805	1264	800	625	464	1366	784	
core2	1286	1436	1187	1322	1531	1359	1287	383	1411	1333	1668	1210	
core3	333	1386	530	1540	780	1220	1716	1055	1243	349	954	1664	
core4	649	337	603	845	1100	1157	1050	782	591	1632	758	573	
core5	1581	1786	1616	393	1071	1311	1116	1415	926	1393	1598	1170	
core6	531	1242	318	313	654	1595	1627	1605	954	1393	324	1155	
core7	1424	1702	1678	660	693	1274	432	514	1779	1647	349	1597	
core8	503	1351	490	757	455	1337	310	1254	1673	563	1309	1349	
core9	1737	544	592	567	555	750	1637	1094	1639	1483	930	1387	
core10	899	1490	1360	581	491	743	465	872	1132	606	1036	1038	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1644	1305	1790	1086	1433	1672	1543	1682	1218	1127	300	1078	
core2	338	640	951	446	1328	1440	412	855	1508	323	1337	378	
core3	739	1335	1616	323	1564	1005	571	1561	361	1337	1129	1064	
core4	985	493	984	1462	1016	1107	326	1200	1350	1423	826	1192	
core5	1570	1402	1411	395	545	1608	1482	1032	1282	1776	1341	1209	
core6	1096	764	810	465	366	564	1089	430	359	788	1361	565	
core7	1292	868	1776	1123	381	1752	1698	1165	532	350	1489	825	
core8	681	1500	1279	1010	655	397	1340	879	1765	373	735	1335	
core9	1012	663	729	370	325	945	1645	807	1185	1088	716	1515	
core10	1676	475	1703	956	331	784	373	1449	608	756	1109	1435	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1131	1255	1024	640	1283	1031	731	1177	759	331	645	652	
core2	1202	1721	557	1347	1265	982	1572	1266	1274	1154	1211	1534	
core3	1118	415	1705	748	1603	770	917	966	1435	1017	1765	356	
core4	665	864	467	1510	1608	1610	1376	328	648	1263	598	489	
core5	890	1670	675	1071	1248	1057	730	1003	1537	1205	1177	899	
core6	874	1359	1049	1327	565	1747	776	1004	483	1163	413	1699	
core7	1718	621	565	715	475	1258	1702	1283	1675	1144	1773	893	
core8	932	457	1081	640	1361	1331	583	453	898	1586	626	642	
core9	1120	363	907	1271	1688	1058	1065	658	567	798	1119	368	
core10	1320	1798	693	347	1627	1611	301	1391	1605	988	1793	722	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1177	1464	651	1126	952	566	846	1701	1795	1052	973	636	
core2	1457	712	607	1281	688	1737	1447	426	552	1659	1759	1216	
core3	1630	1231	495	738	1041	875	1467	1209	1216	1627	1402	330	
core4	490	1491	895	1598	1574	1217	992	1796	1618	1433	593	987	
core5	1537	770	615	753	1576	1056	1162	821	634	1517	1606	1294	
core6	1191	1385	1656	1200	1665	771	1103	434	1236	1193	895	1689	
core7	643	611	1346	1389	1152	762	1397	1775	1629	701	1567	520	
core8	1108	1090	1152	1455	1245	873	1214	626	1491	1199	1712	1280	
core9	636	802	1658	1055	1588	1032	1620	1100	498	1692	1765	1247	
core10	1404	317	1391	1762	1692	882	995	891	607	636	1390	1356	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	501	1208	698	962	1574	382	1527	643	935	340	1048	1052	
core2	919	1006	1379	1071	894	445	321	1146	862	687	1462	1153	
core3	659	1186	1059	447	1722	951	911	1273	771	795	1066	520	
core4	430	1767	1622	1558	1602	876	1743	1098	322	1541	510	1592	
core5	1553	412	1341	505	923	736	624	902	430	1562	1691	478	
core6	324	1466	667	1108	920	394	1597	354	621	604	538	1261	
core7	606	1676	1454	312	1190	1504	1288	372	388	1748	1413	342	
core8	532	647	441	1444	1645	1138	550	1490	1472	308	1260	530	
core9	793	314	1726	1500	1008	427	1363	1263	486	315	1400	347	
core10	385	1290	939	842	305	1327	1000	919	1370	1702	997	1000	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	628	1353	582	888	1125	429	451	1605	1641	329	1048	1161	
core2	1628	1378	1133	1000	847	348	816	1263	715	620	1563	1643	
core3	1655	1510	1065	496	1458	1212	620	1771	1659	1146	1165	569	
core4	1795	725	1592	676	964	412	533	776	1039	411	1570	716	
core5	1087	1025	1131	480	606	1439	891	1107	773	1543	1499	645	
core6	364	863	1232	1288	821	751	1510	1720	1214	764	1606	1260	
core7	482	1242	402	620	1107	1761	374	855	1501	811	400	618	
core8	628	410	894	1747	1270	1155	1301	555	1712	1610	1361	442	
core9	1262	1416	1380	392	334	1242	1179	1438	1610	890	785	487	
core10	947	753	935	777	1265	1710	1034	1009	1710	557	1022	1363	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	936	1575	553	920	302	362	1058	1536	831	1427	1026	1178	
core2	709	1309	742	641	1420	509	885	1090	409	1657	1581	1231	
core3	1353	1687	482	1080	1751	998	1773	962	1088	1526	1465	1384	
core4	1316	1193	1483	832	1062	600	643	1372	749	387	1107	1225	
core5	544	1618	973	1480	786	471	479	406	616	1059	1649	1369	
core6	1495	627	1127	1204	1576	733	568	357	465	1295	567	1745	
core7	534	316	1307	913	479	799	1194	1766	1778	1778	975	919	
core8	1792	1094	957	704	1796	1055	1743	391	467	1627	467	1202	
core9	1239	1283	1332	1291	1194	357	500	679	1488	1362	587	674	
core10	592	1342	1486	703	725	607	1106	1574	1438	1351	815	427	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1731	521	785	615	1208	999	531	709	1203	674	761	1737	
core2	1787	572	1632	1142	1574	923	1289	768	1499	666	568	784	
core3	847	1276	1367	1472	879	988	336	1557	1125	891	626	672	
core4	1667	914	465	751	1255	602	1311	1198	450	1118	917	991	
core5	780	1031	1724	744	1688	705	495	1552	432	768	657	1430	
core6	430	1215	393	690	1176	637	778	909	436	407	1718	1628	
core7	1581	1698	1514	1209	1519	1315	427	1677	1661	1534	1073	372	
core8	536	868	971	1496	673	482	588	1371	1403	350	1782	1605	
core9	484	702	1397	950	378	1717	628	1359	358	1579	532	648	
core10	763	1206	558	1766	733	1517	365	1528	440	1277	1345	1521	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	804	1242	1778	1689	616	1626	1780	384	1774	352	628	1018	
core2	1163	398	971	881	1600	1744	589	1631	735	1361	1785	998	
core3	1480	595	937	1149	475	1002	1736	724	308	1272	1352	1355	
core4	1250	929	380	311	1512	1161	499	1028	530	477	1132	1649	
core5	862	761	1338	702	1080	772	1222	768	1399	864	1723	374	
core6	402	1750	1061	791	1700	708	579	726	886	474	1012	1361	
core7	1680	1189	887	948	1467	723	1117	1070	1581	785	1607	872	
core8	863	1183	1436	817	686	1528	414	442	1416	1286	1559	1760	
core9	855	1068	1783	1585	1279	605	705	590	1600	1647	764	1155	
core10	852	375	783	1448	748	1786	1736	451	1012	1170	927	1175	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1480	936	1248	1179	1218	1270	866	1491	1025	1198	1332	435	
core2	625	663	1273	532	899	1423	1099	558	1342	1373	1576	1152	
core3	1347	1482	1422	1776	796	561	1542	739	1665	1650	1579	1441	
core4	1217	1581	1263	669	1440	738	1213	745	573	1671	579	1363	
core5	1259	1528	899	396	977	1601	787	1670	779	554	1444	1447	
core6	1304	1290	1560	1326	1456	426	1291	1787	692	1202	717	415	
core7	687	989	444	405	1164	1756	1171	1578	473	1284	717	796	
core8	862	934	1662	834	1231	1710	1283	1067	791	1752	1610	911	
core9	1556	1740	422	1165	1465	625	1177	1277	1518	965	703	1639	
core10	1478	1025	782	1119	315	1457	1613	532	956	850	1295	817	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1396	375	1229	1559	571	607	766	1135	355	651	1512	714	
core2	400	954	1272	546	1108	1663	1239	903	301	628	911	1589	
core3	965	1198	1290	1470	1184	1397	1121	1786	1264	326	786	945	
core4	599	1313	1778	1100	1153	886	1075	770	860	966	1220	468	
