	task1	task2	task3	task4	task5	task6	task7	task8	
core1	1160	1570	1612	684	1690	670	365	901	
core2	499	1695	659	1167	1584	949	507	1771	
core3	1195	1399	807	569	1526	1575	1226	442	
core4	1308	1367	1431	313	563	584	346	854	
core5	344	1386	1241	1754	1693	414	456	673	
core6	1139	688	1001	604	580	1647	1346	683	

	task1	task2	task3	task4	task5	task6	task7	task8	
core1	415	561	1340	633	961	839	1364	876	
core2	1212	934	930	1196	1125	866	1233	320	
core3	417	559	1552	1630	969	1331	1388	353	
core4	811	422	1704	328	1446	1605	937	449	
core5	1148	845	1276	785	802	1240	1001	724	
core6	1655	452	1737	1555	793	1450	889	666	

	task1	task2	task3	task4	task5	task6	task7	task8	
core1	1661	1473	755	924	785	1477	613	516	
core2	1758	1430	1299	1701	1453	689	1009	1703	
core3	1598	968	479	1499	1023	1669	1672	1628	
core4	1534	876	1254	528	1005	398	945	1130	
core5	1430	1133	1712	888	501	513	699	1182	
core6	1456	981	365	542	876	734	1094	1416	

	task1	task2	task3	task4	task5	task6	task7	task8	
core1	428	666	1171	1773	435	1247	1277	681	
core2	1056	937	594	792	823	303	1455	1673	
core3	1075	1413	1642	1212	1143	1674	428	1368	
core4	1626	746	1585	1076	901	1110	1045	614	
core5	923	1734	1383	735	1162	788	1058	666	
core6	1721	474	621	1476	1391	1455	1743	774	

	task1	task2	task3	task4	task5	task6	task7	task8	
core1	847	877	808	884	1587	1292	932	699	
core2	1783	1310	1212	1157	426	420	1213	1733	
core3	1135	630	1132	1078	712	1000	422	1505	
core4	1030	1048	398	1517	437	672	1566	1150	
core5	1401	810	1583	460	976	1362	478	339	
core6	1404	315	558	323	635	1115	1680	513	

	task1	task2	task3	task4	task5	task6	task7	task8	
core1	725	545	1617	1184	1304	763	747	612	
core2	1082	1398	324	813	548	987	474	554	
core3	681	893	1152	1147	1088	728	1766	1691	
core4	1575	895	864	1771	704	685	1707	402	
core5	871	1685	1723	315	935	598	1279	1390	
core6	1793	1141	1392	481	944	810	829	1495	

	task1	task2	task3	task4	task5	task6	task7	task8	
core1	1674	478	1122	874	1185	628	997	1086	
core2	526	1339	809	856	1325	705	1045	789	
core3	886	1404	1381	1421	1768	617	1093	1619	
core4	1179	1035	954	1606	1529	1458	417	477	
core5	1263	1180	367	1730	1259	1237	572	1031	
core6	1377	1406	1699	322	853	594	331	323	

	task1	task2	task3	task4	task5	task6	task7	task8	
core1	484	895	919	400	1135	1375	1178	1242	
core2	1681	1230	818	601	810	1748	789	963	
core3	491	1577	1520	706	1121	1271	733	1020	
core4	1248	434	986	1309	1375	855	1244	1465	
core5	908	1748	1555	771	1460	1262	754	1714	
core6	1104	1051	509	902	421	1456	536	1657	

	task1	task2	task3	task4	task5	task6	task7	task8	
core1	1538	571	602	1594	908	871	953	589	
core2	398	1121	345	1786	1570	629	1671	841	
core3	1655	316	1365	439	906	438	1399	992	
core4	1674	1131	1683	1464	1554	1095	1737	340	
core5	1613	1745	1540	1103	312	305	912	1328	
core6	400	1114	1292	1261	577	677	306	912	
